Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/South Korea/KDCA4426/2021	EPI_ISL_2361099	2021-03-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4430/2021	EPI_ISL_2361135	2021-04-15	Asia / South Korea				
hCoV-19/South Korea/KDCA4431/2021	EPI_ISL_2361138	2021-04-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4432/2021	EPI_ISL_2361139	2021-04-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4433/2021	EPI_ISL_2361140	2021-04-15	Asia / South Korea				
hCoV-19/South Korea/KDCA4434/2021	EPI_ISL_2361148	2021-04-12	Asia / South Korea				
hCoV-19/South Korea/KDCA4435/2021	EPI_ISL_2361150	2021-04-11	Asia / South Korea				
hCoV-19/South Korea/KDCA4436/2021	EPI_ISL_2361151	2021-04-13	Asia / South Korea				
hCoV-19/South Korea/KDCA4437/2021	EPI_ISL_2361152	2021-04-11	Asia / South Korea				
hCoV-19/South Korea/KDCA4439/2021	EPI_ISL_2361162	2021-04-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4441/2021	EPI_ISL_2361167	2021-04-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4442/2021	EPI_ISL_2361169	2021-04-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4443/2021	EPI_ISL_2361170	2021-04-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4444/2021	EPI_ISL_2361171	2021-04-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4445/2021	EPI_ISL_2361172	2021-04-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4446/2021	EPI_ISL_2361180	2021-04-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4447/2021	EPI_ISL_2361182	2021-04-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4448/2021	EPI_ISL_2361186	2021-04-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4449/2021	EPI_ISL_2361194	2021-04-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4450/2021	EPI_ISL_2361195	2021-04-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4451/2021	EPI_ISL_2361196	2021-04-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4452/2021	EPI_ISL_2361198	2021-04-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4453/2021	EPI_ISL_2361206	2021-04-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4454/2021	EPI_ISL_2361207	2021-04-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4455/2021	EPI_ISL_2361208	2021-04-16	Asia / South Korea				
hCoV-19/South Korea/KDCA4456/2021	EPI_ISL_2361209	2021-04-15	Asia / South Korea				
hCoV-19/South Korea/KDCA4458/2021	EPI_ISL_2361210	2021-04-25	Asia / South Korea				
